ID,Word,Lemma,Pos,(Extra),Features,HeadPosition,Relation,_,EverythingElse
38,до,до,ADP,_,_,41,advmod,_,@rml1967f-words#@rml1967f#334.381#334.559
39,сих,сей,DET,_,Case=Gen|Number=Plur,38,fixed,_,@rml1967f-words#@rml1967f#334.559#334.737
40,пор,пора,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,38,fixed,_,@rml1967f-words#@rml1967f#334.737#334.915
41,нет,нет,PRED,_,_,32,conj,_,@rml1967f-words#@rml1967f#334.915#335.093
42,своей,свой,DET,_,Case=Gen|Gender=Fem|Number=Sing,43,det,_,@rml1967f-words#@rml1967f#335.093#335.271
43,гримерки,гримерка,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,41,nsubj,_,@rml1967f-words#@rml1967f#335.271#335.449
44,/,/,PUNCT,_,_,47,punct,_,@rml1967f-words#@rml1967f#335.449#335.627
45,где,где,ADV,_,Degree=Pos,47,advmod,_,@rml1967f-words#@rml1967f#335.627#335.805
46,бы,бы,PART,_,_,47,aux:pass,_,@rml1967f-words#@rml1967f#335.805#335.983
47,написано,написан,ADJ,_,Degree=Pos|Gender=Masc|Number=Sing|Variant=Short,43,acl:relcl,_,@rml1967f-words#@rml1967f#335.983#336.161
48,было,было,AUX,_,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,47,aux:pass,_,@rml1967f-words#@rml1967f#336.161#336.339
49,/,/,PUNCT,_,_,47,punct,_,@rml1967f-words#@rml1967f#336.339#336.517
50,Литвинова,Литвинова,PROPN,_,Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing,47,nsubj:pass,_,@rml1967f-words#@rml1967f#336.517#336.702
51,а,а,CCONJ,_,_,54,cc,_,@rml1967f-words#@rml1967f#340.1#340.224
52,/,/,PUNCT,_,_,54,punct,_,@rml1967f-words#@rml1967f#340.224#340.348
53,вот,вот,PART,_,_,54,advmod,_,@rml1967f-words#@rml1967f#340.348#340.472
54,так,так,ADV,_,Degree=Pos,50,conj,_,@rml1967f-words#@rml1967f#340.472#340.596
55,?,?,PUNCT,_,_,56,punct,_,@rml1967f-words#@rml1967f#340.596#340.723
56,нет,нет,PRED,_,_,0,root,_,@rml1967f-words#@rml1967f#342.348#342.55
57,у,у,ADP,_,_,58,case,_,@rml1967f-words#@rml1967f#342.55#342.752
58,меня,я,PRON,_,Case=Gen|Number=Sing|Person=1,54,advcl,_,@rml1967f-words#@rml1967f#342.752#342.954
59,своей,свой,DET,_,Case=Gen|Gender=Fem|Number=Sing,60,det,_,@rml1967f-words#@rml1967f#342.954#343.156
60,гримерки,гримерка,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,58,nmod,_,@rml1967f-words#@rml1967f#343.156#343.358
61,/,/,PUNCT,_,_,62,punct,_,@rml1967f-words#@rml1967f#343.358#343.56
62,товарищи,товарищ,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur,58,nsubj,_,@rml1967f-words#@rml1967f#343.56#343.762
63,/,/,PUNCT,_,_,68,punct,_,@rml1967f-words#@rml1967f#343.762#343.964
64,и,и,CCONJ,_,_,68,cc,_,@rml1967f-words#@rml1967f#343.964#344.166
65,нигде,нигде,ADV,_,Degree=Pos,68,advmod,_,@rml1967f-words#@rml1967f#344.166#344.368
66,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,68,nsubj:pass,_,@rml1967f-words#@rml1967f#344.368#344.57
67,не,не,PART,_,_,68,advmod,_,@rml1967f-words#@rml1967f#344.57#344.772
68,написана,написать,VERB,_,Aspect=Perf|Gender=Fem|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass,58,conj,_,@rml1967f-words#@rml1967f#344.772#344.975
69,и,и,CCONJ,_,_,76,cc,_,@rml1967f-words#@rml1967f#345.837#345.973
70,ни,ни,PART,_,Polarity=Neg,72,advmod,_,@rml1967f-words#@rml1967f#345.973#346.109
71,в,в,ADP,_,_,72,case,_,@rml1967f-words#@rml1967f#346.109#346.245
72,каком,какой,DET,_,Case=Loc|Gender=Masc|Number=Sing,76,det,_,@rml1967f-words#@rml1967f#346.245#346.381
73,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,76,nsubj,_,@rml1967f-words#@rml1967f#346.381#346.517
74,не,не,PART,_,_,76,advmod,_,@rml1967f-words#@rml1967f#346.517#346.653
75,в,в,ADP,_,_,76,case,_,@rml1967f-words#@rml1967f#346.653#346.789
76,штате,штат,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,80,obl,_,@rml1967f-words#@rml1967f#346.789#346.93
77,серьезно,серьезно,ADV,_,Degree=Pos,80,advmod,_,@rml1967f-words#@rml1967f#357.412#357.726
78,?,?,PUNCT,_,_,77,punct,_,@rml1967f-words#@rml1967f#357.726#358.04
79,#смеется#,#смеется#,X,_,_,82,obl,_,@rml1967f-words#@rml1967f#359.95#362.13
80,можно,можно,PRED,_,_,68,advmod,_,@rml1967f-words#@rml1967f#365.77#365.97
81,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,82,nsubj,_,@rml1967f-words#@rml1967f#365.97#366.17
82,скажу,сказать,VERB,_,Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,80,parataxis,_,@rml1967f-words#@rml1967f#366.17#366.37
83,на,на,ADP,_,_,84,case,_,@rml1967f-words#@rml1967f#382.29#383.198
84,полу,пол,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,82,obl,_,@rml1967f-words#@rml1967f#383.198#384.106
85,?,?,PUNCT,_,_,82,punct,_,@rml1967f-words#@rml1967f#384.106#385.014
86,потому,потому,SCONJ,_,_,91,mark,_,@rml1967f-words#@rml1967f#388.1#388.125
87,что,что,SCONJ,_,_,86,fixed,_,@rml1967f-words#@rml1967f#388.125#388.15
88,или,или,CCONJ,_,_,91,cc,_,@rml1967f-words#@rml1967f#388.15#388.175
89,просто,просто,ADV,_,Degree=Pos,91,advmod,_,@rml1967f-words#@rml1967f#388.175#388.2
90,мне,я,PRON,_,Case=Dat|Number=Sing|Person=1,91,iobj,_,@rml1967f-words#@rml1967f#389.23#389.463
91,кажется,казаться,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,80,advcl,_,@rml1967f-words#@rml1967f#389.463#389.696
92,/,/,PUNCT,_,_,94,punct,_,@rml1967f-words#@rml1967f#389.696#389.929
93,тебе,ты,PRON,_,Case=Dat|Number=Sing|Person=2,94,iobj,_,@rml1967f-words#@rml1967f#389.929#390.162
94,надо,надо,ADV,_,Degree=Pos,91,nsubj,_,@rml1967f-words#@rml1967f#390.162#390.395
95,начинать,начинать,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,94,csubj,_,@rml1967f-words#@rml1967f#390.395#390.628
96,уже,уже,ADV,_,Degree=Pos,97,advmod,_,@rml1967f-words#@rml1967f#390.628#390.861
97,писать,писать,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,95,xcomp,_,@rml1967f-words#@rml1967f#390.861#391.094
98,какие-нибудь,какой-нибудь,DET,_,Case=Acc|Number=Plur,99,det,_,@rml1967f-words#@rml1967f#391.094#391.327
99,мемуары,мемуар,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur,97,obj,_,@rml1967f-words#@rml1967f#391.327#391.56
100,потому,потому,SCONJ,_,Degree=Pos,97,advmod,_,@rml1967f-words#@rml1967f#392.49#392.73
101,что,что,SCONJ,_,_,100,fixed,_,@rml1967f-words#@rml1967f#392.73#392.97
102,или,или,CCONJ,_,_,107,cc,_,@rml1967f-words#@rml1967f#392.97#393.21
103,вот,вот,PART,_,_,104,advmod,_,@rml1967f-words#@rml1967f#393.21#393.45
104,так,так,ADV,_,Degree=Pos,107,advmod,_,@rml1967f-words#@rml1967f#393.45#393.69
105,вот,вот,PART,_,_,104,advmod,_,@rml1967f-words#@rml1967f#393.69#393.93
106,его,он,PRON,_,Case=Acc|Gender=Masc|Number=Sing|Person=3,107,obj,_,@rml1967f-words#@rml1967f#393.93#394.17
107,сажать,сажать,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,100,conj,_,@rml1967f-words#@rml1967f#394.17#394.41
108,/,/,PUNCT,_,_,115,punct,_,@rml1967f-words#@rml1967f#394.41#394.65
109,и,и,CCONJ,_,_,115,cc,_,@rml1967f-words#@rml1967f#394.65#394.89
110,пусть,пусть,PART,_,_,115,advmod,_,@rml1967f-words#@rml1967f#394.89#395.13
111,он,он,PRON,_,Case=Nom|Gender=Masc|Number=Sing|Person=3,115,nsubj,_,@rml1967f-words#@rml1967f#395.13#395.37
112,это,это,PRON,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,115,obj,_,@rml1967f-words#@rml1967f#395.37#395.61
113,/,/,PUNCT,_,_,112,punct,_,@rml1967f-words#@rml1967f#395.61#395.85
114,где-нибудь,где-нибудь,ADV,_,Degree=Pos,115,advmod,_,@rml1967f-words#@rml1967f#395.85#396.09
115,преподает,преподавать,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,107,conj,_,@rml1967f-words#@rml1967f#396.09#396.33
116,мне,я,PRON,_,Case=Dat|Number=Sing|Person=1,115,iobj,_,@rml1967f-words#@rml1967f#397.02#397.225
117,кажется,казаться,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,115,parataxis,_,@rml1967f-words#@rml1967f#397.225#397.43
118,/,/,PUNCT,_,_,117,punct,_,@rml1967f-words#@rml1967f#397.43#397.635
119,тебе,ты,PRON,_,Case=Dat|Number=Sing|Person=2,117,iobj,_,@rml1967f-words#@rml1967f#397.635#397.84
120,надо,надо,PRED,_,_,117,advmod,_,@rml1967f-words#@rml1967f#397.84#398.045
121,преподавать,преподавать,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,120,csubj,_,@rml1967f-words#@rml1967f#398.045#398.25
122,потому,потому,SCONJ,_,Degree=Pos,126,mark,_,@rml1967f-words#@rml1967f#398.63#398.948
123,что,что,SCONJ,_,_,122,fixed,_,@rml1967f-words#@rml1967f#398.948#399.266
124,у,у,ADP,_,_,125,case,_,@rml1967f-words#@rml1967f#399.266#399.584
125,тебя,ты,PRON,_,Case=Gen|Number=Sing|Person=2,126,obl,_,@rml1967f-words#@rml1967f#399.584#399.902
126,есть,быть,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,133,advcl,_,@rml1967f-words#@rml1967f#399.902#400.22
127,какая-то,какой-то,DET,_,Case=Nom|Gender=Fem|Number=Sing,129,det,_,@rml1967f-words#@rml1967f#400.22#400.538
128,странная,странный,ADJ,_,Case=Nom|Degree=Pos|Gender=Fem|Number=Sing,129,amod,_,@rml1967f-words#@rml1967f#400.538#400.856
129,недовысказанность,недовысказанность,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,133,obl,_,@rml1967f-words#@rml1967f#400.856#401.18
130,ты,ты,PRON,_,Case=Nom|Number=Sing|Person=2,133,nsubj,_,@rml1967f-words#@rml1967f#401.36#401.731
131,все,весь,DET,_,Case=Acc|Gender=Neut|Number=Sing,132,det,_,@rml1967f-words#@rml1967f#401.731#402.102
132,время,время,NOUN,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,133,obl,_,@rml1967f-words#@rml1967f#402.102#402.473
133,хочешь,хотеть,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,121,xcomp,_,@rml1967f-words#@rml1967f#402.473#402.844
134,чё-то,что-то,PRON,_,Case = Nom,135,advmod,_,@rml1967f-words#@rml1967f#402.844#403.215
135,вспоминать,вспоминать,VERB,_,Aspect=Perf|VerbForm=Inf|Voice=Act,166,xcomp,_,@rml1967f-words#@rml1967f#403.215#403.59
136,это,это,PRON,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,135,obj,_,@rml1967f-words#@rml1967f#404.55#404.724
137,же,же,PART,_,_,135,advmod,_,@rml1967f-words#@rml1967f#404.724#404.898
138,/,/,PUNCT,_,_,135,punct,_,@rml1967f-words#@rml1967f#404.898#405.072
139,может,мочь,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,166,parataxis,_,@rml1967f-words#@rml1967f#405.072#405.246
140,быть,быть,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,139,xcomp,_,@rml1967f-words#@rml1967f#405.246#405.42
141,/,/,PUNCT,_,_,139,punct,_,@rml1967f-words#@rml1967f#405.42#405.594
142,в,в,ADP,_,_,144,case,_,@rml1967f-words#@rml1967f#405.594#405.768
143,какой-то,какой-то,DET,_,Case=Acc|Gender=Masc|Number=Sing,144,det,_,@rml1967f-words#@rml1967f#405.768#405.942
144,момент,момент,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,166,obl,_,@rml1967f-words#@rml1967f#405.942#406.116
145,учительство,учительство,NOUN,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,166,nsubj,_,@rml1967f-words#@rml1967f#406.116#406.29
146,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,148,nsubj,_,@rml1967f-words#@rml1967f#406.62#406.92
147,вот,вот,PART,_,_,148,advmod,_,@rml1967f-words#@rml1967f#406.92#407.22
148,советую,советовать,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act,166,parataxis,_,@rml1967f-words#@rml1967f#407.22#407.52
149,да,да,PART,_,_,161,advmod,_,@rml1967f-words#@rml1967f#407.86#408.126
150,/,/,PUNCT,_,_,154,punct,_,@rml1967f-words#@rml1967f#408.126#408.392
151,и,и,CCONJ,_,_,154,cc,_,@rml1967f-words#@rml1967f#408.392#408.658
152,в,в,ADP,_,_,154,case,_,@rml1967f-words#@rml1967f#408.658#408.924
153,кармическом,кармический,ADJ,_,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,154,amod,_,@rml1967f-words#@rml1967f#408.924#409.19
154,смысле,смысл,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,149,conj,_,@rml1967f-words#@rml1967f#409.19#409.456
155,/,/,PUNCT,_,_,156,punct,_,@rml1967f-words#@rml1967f#409.456#409.722
156,учителя,учитель,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur,154,nmod,_,@rml1967f-words#@rml1967f#409.722#409.988
157,/,/,PUNCT,_,_,154,punct,_,@rml1967f-words#@rml1967f#409.988#410.254
158,это,это,PRON,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,161,nsubj,_,@rml1967f-words#@rml1967f#410.254#410.52
159,самые,самый,DET,_,Case=Nom|Degree=Pos|Number=Plur,160,amod,_,@rml1967f-words#@rml1967f#410.52#410.786
160,главные,главный,ADJ,_,Case=Nom|Degree=Pos|Number=Plur,161,amod,_,@rml1967f-words#@rml1967f#410.786#411.052
161,люди,человек,NOUN,_,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur,166,nsubj,_,@rml1967f-words#@rml1967f#411.052#411.32
162,Шапира,Шапир,PROPN,_,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,161,nmod,_,@rml1967f-words#@rml1967f#418.49#418.97
163,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,166,nsubj,_,@rml1967f-words#@rml1967f#419.7#420.013
164,бы,бы,AUX,_,_,166,aux,_,@rml1967f-words#@rml1967f#420.013#420.326
165,не,не,PART,_,_,166,advmod,_,@rml1967f-words#@rml1967f#420.326#420.639
166,отказалась,отказаться,VERB,_,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,133,xcomp,_,@rml1967f-words#@rml1967f#420.639#420.952
167,в,в,ADP,_,_,168,case,_,@rml1967f-words#@rml1967f#420.952#421.265
168,театре,театр,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,166,obl,_,@rml1967f-words#@rml1967f#421.265#421.58
169,абсолютно,абсолютно,ADV,_,Degree=Pos,170,obl,_,@rml1967f-words#@rml1967f#424.84#425.59
170,но,но,CCONJ,_,_,177,cc,_,@rml1967f-words#@rml1967f#425.83#426.07
171,с,с,ADP,_,_,173,case,_,@rml1967f-words#@rml1967f#426.07#426.31
172,другой,другой,ADJ,_,Case=Gen|Degree=Pos|Gender=Fem|Number=Sing,173,amod,_,@rml1967f-words#@rml1967f#426.31#426.55
173,стороны,сторона,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,177,parataxis,_,@rml1967f-words#@rml1967f#426.55#426.79
174,/,/,PUNCT,_,_,173,punct,_,@rml1967f-words#@rml1967f#426.79#427.03
175,видите,видеть,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,177,parataxis,_,@rml1967f-words#@rml1967f#427.03#427.27
176,/,/,PUNCT,_,_,175,punct,_,@rml1967f-words#@rml1967f#427.27#427.51
177,получилась,получиться,VERB,_,Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid,166,conj,_,@rml1967f-words#@rml1967f#427.51#427.75
178,какая-то,какой-то,DET,_,Case=Nom|Gender=Fem|Number=Sing,180,det,_,@rml1967f-words#@rml1967f#427.75#427.99
179,такая,такой,DET,_,Case=Nom|Gender=Fem|Number=Sing,180,det,_,@rml1967f-words#@rml1967f#427.99#428.23
180,судьба,судьба,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,186,nsubj,_,@rml1967f-words#@rml1967f#428.23#428.47
181,/,/,PUNCT,_,_,185,punct,_,@rml1967f-words#@rml1967f#428.47#428.71
182,от,от,ADP,_,_,183,case,_,@rml1967f-words#@rml1967f#428.71#428.95
183,которой,который,PRON,_,Case=Gen,185,obl,_,@rml1967f-words#@rml1967f#428.95#429.19
184,не,не,PART,_,_,185,advmod,_,@rml1967f-words#@rml1967f#429.19#429.43
185,открутишься,открутиться,VERB,_,Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Mid,186,xcomp,_,@rml1967f-words#@rml1967f#429.43#429.67
186,посыл,посыл,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,177,xcomp,_,@rml1967f-words#@rml1967f#429.82#430.216
187,/,/,PUNCT,_,_,201,punct,_,@rml1967f-words#@rml1967f#430.216#430.612
188,туда-сюда,туда-сюда,ADV,_,Degree=Pos,190,advmod,_,@rml1967f-words#@rml1967f#430.612#431.01
189,чтобы,чтобы,SCONJ,_,Mood=Cnd,190,mark,_,@rml1967f-words#@rml1967f#432.41#432.813
190,пронзать,пронзать,VERB,_,Aspect=Perf|VerbForm=Inf|Voice=Act,201,advcl,_,@rml1967f-words#@rml1967f#432.813#433.216
191,зал,зал,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,190,obj,_,@rml1967f-words#@rml1967f#433.216#433.62
192,но,но,CCONJ,_,_,201,cc,_,@rml1967f-words#@rml1967f#434.7#434.952
193,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,201,nsubj,_,@rml1967f-words#@rml1967f#434.952#435.204
194,до,до,ADP,_,_,201,advmod,_,@rml1967f-words#@rml1967f#435.204#435.456
195,сих,сей,DET,_,Case=Gen|Number=Plur,194,fixed,_,@rml1967f-words#@rml1967f#435.456#435.708
196,пор,пора,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,194,fixed,_,@rml1967f-words#@rml1967f#435.708#435.96
197,сейчас,сейчас,ADV,_,Degree=Pos,198,advmod,_,@rml1967f-words#@rml1967f#435.96#436.212
198,ээ,ээ,INTJ,_,_,201,obl,_,@rml1967f-words#@rml1967f#436.212#436.464
199,есть,быть,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,201,advcl,_,@rml1967f-words#@rml1967f#436.464#436.716
200,мне,я,PRON,_,Case=Dat|Number=Sing|Person=1,201,iobj,_,@rml1967f-words#@rml1967f#436.716#436.968
201,говорят,говорить,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,186,parataxis,_,@rml1967f-words#@rml1967f#436.968#437.22
202,/,/,PUNCT,_,_,205,punct,_,@rml1967f-words#@rml1967f#437.22#437.472
203,что,что,SCONJ,_,_,205,mark,_,@rml1967f-words#@rml1967f#437.472#437.724
204,не,не,PART,_,_,205,advmod,_,@rml1967f-words#@rml1967f#437.724#437.976
205,слышно,слышный,ADJ,_,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,201,ccomp,_,@rml1967f-words#@rml1967f#437.976#438.228
206,/,/,PUNCT,_,_,207,punct,_,@rml1967f-words#@rml1967f#438.228#438.48
207,надо,надо,ADV,_,Degree=Pos,205,parataxis,_,@rml1967f-words#@rml1967f#438.48#438.732
208,говорить,говорить,VERB,_,Aspect=Imp|VerbForm=Inf|Voice=Act,207,csubj,_,@rml1967f-words#@rml1967f#438.732#438.984
209,громче,громко,ADV,_,Degree=Cmp,208,advmod,_,@rml1967f-words#@rml1967f#438.984#439.24
210,и,и,CCONJ,_,_,218,cc,_,@rml1967f-words#@rml1967f#439.32#439.556
211,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,218,nsubj,_,@rml1967f-words#@rml1967f#439.556#439.792
212,все,весь,DET,_,Case=Acc|Gender=Neut|Number=Sing,213,det,_,@rml1967f-words#@rml1967f#439.792#440.028
213,время,время,NOUN,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,218,obl,_,@rml1967f-words#@rml1967f#440.028#440.264
214,/,/,PUNCT,_,_,218,punct,_,@rml1967f-words#@rml1967f#440.264#440.5
215,это,это,PRON,_,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,218,nsubj,_,@rml1967f-words#@rml1967f#440.5#440.736
216,самое,самый,DET,_,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,218,parataxis,_,@rml1967f-words#@rml1967f#440.736#440.972
217,/,/,PUNCT,_,_,216,punct,_,@rml1967f-words#@rml1967f#440.972#441.208
218,ближе,близкий,ADJ,_,Degree=Cmp,208,conj,_,@rml1967f-words#@rml1967f#441.208#441.444
219,к,к,ADP,_,_,220,case,_,@rml1967f-words#@rml1967f#441.444#441.68
220,краю,край,NOUN,_,Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing,218,obl,_,@rml1967f-words#@rml1967f#441.68#441.916
